state,"[{'TOT_EMP': 1083560}, {'TOT_EMP': 1558860}, {'TOT_EMP': 412140}, {'TOT_EMP': 2688580}, {'TOT_EMP': 5704700}, {'TOT_EMP': 1152600}, {'TOT_EMP': 783980}, {'TOT_EMP': 2854250}, {'TOT_EMP': 2534480}, {'TOT_EMP': 1885310}, {'TOT_EMP': 613000}, {'TOT_EMP': 278910}, {'TOT_EMP': 2700050}, {'TOT_EMP': 2475660}, {'TOT_EMP': 1491600}, {'TOT_EMP': 3998790}, {'TOT_EMP': 1336460}, {'TOT_EMP': 1242690}, {'TOT_EMP': 3631440}, {'TOT_EMP': 1640300}, {'TOT_EMP': 1635590}, {'TOT_EMP': 439110}, {'TOT_EMP': 14714530}, {'TOT_EMP': 3257870}, {'TOT_EMP': 709430}, {'TOT_EMP': 1826120}, {'TOT_EMP': 620190}, {'TOT_EMP': 2704840}, {'TOT_EMP': 298290}, {'TOT_EMP': 3879660}, {'TOT_EMP': 422930}, {'TOT_EMP': 5616820}, {'TOT_EMP': 927460}, {'TOT_EMP': 7453230}, {'TOT_EMP': 322660}, {'TOT_EMP': 1782820}, {'TOT_EMP': 602200}, {'TOT_EMP': 927150}, {'TOT_EMP': 2639120}, {'TOT_EMP': 5125850}, {'TOT_EMP': 1844080}, {'TOT_EMP': 8635400}, {'TOT_EMP': 38860}, {'TOT_EMP': 402990}, {'TOT_EMP': 2295000}, {'TOT_EMP': 3821070}, {'TOT_EMP': 59500}, {'TOT_EMP': 2827200}, {'TOT_EMP': 3947030}, {'TOT_EMP': 665850}, {'TOT_EMP': 10913950}, {'TOT_EMP': 1151970}, {'TOT_EMP': 582430}, {'TOT_EMP': 456100}]"
Mississippi,1083560
Oklahoma,1558860
Delaware,412140
Minnesota,2688580
Illinois,5704700
Arkansas,1152600
New Mexico,783980
Indiana,2854250
Maryland,2534480
Louisiana,1885310
Idaho,613000
Wyoming,278910
Tennessee,2700050
Arizona,2475660
Iowa,1491600
Michigan,3998790
Kansas,1336460
Utah,1242690
Virginia,3631440
Oregon,1640300
Connecticut,1635590
Montana,439110
California,14714530
Massachusetts,3257870
West Virginia,709430
South Carolina,1826120
New Hampshire,620190
Wisconsin,2704840
Vermont,298290
Georgia,3879660
North Dakota,422930
Pennsylvania,5616820
Puerto Rico,927460
Florida,7453230
Alaska,322660
Kentucky,1782820
Hawaii,602200
Nebraska,927150
Missouri,2639120
Ohio,5125850
Alabama,1844080
New York,8635400
Virgin Islands,38860
South Dakota,402990
Colorado,2295000
New Jersey,3821070
Guam,59500
Washington,2827200
North Carolina,3947030
District of Columbia,665850
Texas,10913950
Nevada,1151970
Maine,582430
Rhode Island,456100
