Aaron Schroeder,,graduate student,"Washington, D.C"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5657,2009-03-24,3800,7400,14800,7400,12,3,0,0/0,0,R,7400,224,937
#5656,2009-03-23,2400,13600,9600,13600,18,3,1,0/0,0,W,-4000,310,810
#5655,2009-03-20,6600,14600,26600,15600,21,2,1,0/1,-1000,R,12000,373,810
#5651,2009-03-16,9400,18200,18200,17000,21,3,1,1/1,2000,R,0,373,810
#5505,2008-07-11,6000,16900,3800,16000,21,3,1,2/2,2900,W,-13100,350,841
#5504,2008-07-10,7200,12000,24000,14000,21,3,2,0/1,-2000,R,12000,373,857
#5503,2008-07-09,10200,24600,24801,24600,31,0,2,1/1,1200,R,201,542,937
#5502,2008-07-08,8400,18800,28001,18400,26,3,3,1/1,1200,R,9201,458,905
#5501,2008-07-07,9700,27800,25600,28800,32,1,0,2/2,1600,W,-2200,533,778
#5500,2008-07-04,4000,12800,25500,12800,16,3,2,0/0,0,R,12700,293,841
