state,jeopardy,2013ntl
Mississippi,24,1083560
Oklahoma,50,1558860
Delaware,37,412140
Minnesota,110,2688580
Illinois,436,5704700
Arkansas,33,1152600
New Mexico,32,783980
Indiana,104,2854250
Maryland,336,2534480
Louisiana,107,1885310
Idaho,16,613000
Wyoming,11,278910
Tennessee,99,2700050
Arizona,82,2475660
Iowa,55,1491600
Michigan,189,3998790
Kansas,71,1336460
Utah,21,1242690
Virginia,424,3631440
Oregon,116,1640300
Connecticut,157,1635590
Montana,19,439110
California,1493,14714530
Massachusetts,427,3257870
West Virginia,0,709430
South Carolina,0,1826120
New Hampshire,60,620190
Wisconsin,112,2704840
Vermont,36,298290
Georgia,261,3879660
North Dakota,4,422930
Pennsylvania,356,5616820
Puerto Rico,0,927460
Florida,326,7453230
Alaska,14,322660
Kentucky,110,1782820
Hawaii,35,602200
Nebraska,33,927150
Missouri,96,2639120
Ohio,260,5125850
Alabama,65,1844080
New York,817,8635400
Virgin Islands,0,38860
South Dakota,13,402990
Colorado,93,2295000
New Jersey,299,3821070
Guam,0,59500
Washington,390,2827200
North Carolina,167,3947030
District of Columbia,0,665850
Texas,332,10913950
Nevada,43,1151970
Maine,43,582430
Rhode Island,37,456100
